AC_REG,Year,Quarter,Month,Day,ENTRY_DATE,Year,Quarter,Month,Day,FLT_NO,Year,Quarter,Month,Day,IN_HRS,IN_MNT,LNDGS,Year,Quarter,Month,Day,OFF_HRS,OFF_MNT,Year,Quarter,Month,Day,ON_HRS,ON_MNT,OPS_CODE,OPS_DATE,Year,Quarter,Month,Day,OUT_HRS,OUT_MNT,STN_FROM,STN_TO,TYPE_CODE,USER_ID
ATU,1899,Qtr 4,December,31,20020108,1899,Qtr 4,December,31,603,1899,Qtr 4,December,31,6,54,1,1899,Qtr 4,December,31,5,54,1899,Qtr 4,December,31,6,47,REV,20020107,1899,Qtr 4,December,31,5,45,ISB,LHE,D,DL28
ATU,1899,Qtr 4,December,31,20020108,1899,Qtr 4,December,31,603,1899,Qtr 4,December,31,8,39,1,1899,Qtr 4,December,31,7,32,1899,Qtr 4,December,31,8,35,REV,20020107,1899,Qtr 4,December,31,7,15,LHE,BHV,D,DL28
ATU,1899,Qtr 4,December,31,20020108,1899,Qtr 4,December,31,604,1899,Qtr 4,December,31,10,19,1,1899,Qtr 4,December,31,9,10,1899,Qtr 4,December,31,10,13,REV,20020107,1899,Qtr 4,December,31,9,0,BHV,LHE,D,DL28
ATU,1899,Qtr 4,December,31,20020108,1899,Qtr 4,December,31,604,1899,Qtr 4,December,31,12,5,1,1899,Qtr 4,December,31,11,14,1899,Qtr 4,December,31,12,2,REV,20020107,1899,Qtr 4,December,31,11,0,LHE,ISB,D,DL28
ATU,1899,Qtr 4,December,31,20020105,1899,Qtr 4,December,31,6042,1899,Qtr 4,December,31,7,45,1,1899,Qtr 4,December,31,6,35,1899,Qtr 4,December,31,7,40,REV,20020105,1899,Qtr 4,December,31,6,19,LHE,ISB,D,DL28
ATU,1899,Qtr 4,December,31,20020108,1899,Qtr 4,December,31,605,1899,Qtr 4,December,31,3,25,1,1899,Qtr 4,December,31,2,26,1899,Qtr 4,December,31,3,20,REV,20020107,1899,Qtr 4,December,31,2,19,ISB,GIL,D,DL28
ATU,1899,Qtr 4,December,31,20020108,1899,Qtr 4,December,31,606,1899,Qtr 4,December,31,4,50,1,1899,Qtr 4,December,31,3,50,1899,Qtr 4,December,31,4,45,REV,20020107,1899,Qtr 4,December,31,3,45,GIL,ISB,D,DL28
ATU,1899,Qtr 4,December,31,20020106,1899,Qtr 4,December,31,609,1899,Qtr 4,December,31,13,30,1,1899,Qtr 4,December,31,12,13,1899,Qtr 4,December,31,13,12,REV,20020106,1899,Qtr 4,December,31,12,5,PEW,LHE,D,DL05
ATU,1899,Qtr 4,December,31,40040219,1899,Qtr 4,December,31,609,1899,Qtr 4,December,31,26,75,2,1899,Qtr 4,December,31,24,26,1899,Qtr 4,December,31,26,59,REV,40040219,1899,Qtr 4,December,31,24,15,PEW,LHE,D,DL26
ATU,1899,Qtr 4,December,31,20020105,1899,Qtr 4,December,31,609,1899,Qtr 4,December,31,13,45,1,1899,Qtr 4,December,31,12,22,1899,Qtr 4,December,31,13,35,REV,20020103,1899,Qtr 4,December,31,12,10,PEW,LHE,D,DL28
ATU,1899,Qtr 4,December,31,20020106,1899,Qtr 4,December,31,610,1899,Qtr 4,December,31,15,35,1,1899,Qtr 4,December,31,14,30,1899,Qtr 4,December,31,15,30,REV,20020106,1899,Qtr 4,December,31,14,15,LHE,PEW,D,DL05
ATU,1899,Qtr 4,December,31,40040219,1899,Qtr 4,December,31,610,1899,Qtr 4,December,31,30,65,2,1899,Qtr 4,December,31,28,50,1899,Qtr 4,December,31,30,55,REV,40040219,1899,Qtr 4,December,31,28,20,LHE,PEW,D,DL26
ATU,1899,Qtr 4,December,31,20020108,1899,Qtr 4,December,31,615,1899,Qtr 4,December,31,15,39,1,1899,Qtr 4,December,31,14,43,1899,Qtr 4,December,31,15,31,REV,20020107,1899,Qtr 4,December,31,14,34,ISB,LHE,D,DL28
ATU,1899,Qtr 4,December,31,20020106,1899,Qtr 4,December,31,662,1899,Qtr 4,December,31,5,24,1,1899,Qtr 4,December,31,4,26,1899,Qtr 4,December,31,5,20,REV,20020106,1899,Qtr 4,December,31,4,20,PEW,CJL,D,DL05
ATU,1899,Qtr 4,December,31,20020110,1899,Qtr 4,December,31,662,1899,Qtr 4,December,31,5,24,1,1899,Qtr 4,December,31,4,39,1899,Qtr 4,December,31,5,19,REV,20020110,1899,Qtr 4,December,31,4,29,PEW,CJL,D,DL26
ATU,1899,Qtr 4,December,31,20020111,1899,Qtr 4,December,31,662,1899,Qtr 4,December,31,5,20,1,1899,Qtr 4,December,31,4,35,1899,Qtr 4,December,31,5,16,REV,20020111,1899,Qtr 4,December,31,4,25,PEW,CJL,D,DL29
ATU,1899,Qtr 4,December,31,20020106,1899,Qtr 4,December,31,663,1899,Qtr 4,December,31,6,39,1,1899,Qtr 4,December,31,5,55,1899,Qtr 4,December,31,6,30,REV,20020106,1899,Qtr 4,December,31,5,44,CJL,PEW,D,DL05
ATU,1899,Qtr 4,December,31,20020110,1899,Qtr 4,December,31,663,1899,Qtr 4,December,31,6,35,1,1899,Qtr 4,December,31,5,48,1899,Qtr 4,December,31,6,30,REV,20020110,1899,Qtr 4,December,31,5,40,CJL,PEW,D,DL26
ATU,1899,Qtr 4,December,31,20020111,1899,Qtr 4,December,31,663,1899,Qtr 4,December,31,6,39,1,1899,Qtr 4,December,31,5,55,1899,Qtr 4,December,31,6,35,REV,20020111,1899,Qtr 4,December,31,5,44,CJL,PEW,D,DL29
ATU,1899,Qtr 4,December,31,20020102,1899,Qtr 4,December,31,680,1899,Qtr 4,December,31,11,5,1,1899,Qtr 4,December,31,10,10,1899,Qtr 4,December,31,11,0,REV,20020102,1899,Qtr 4,December,31,10,0,ISB,LHE,D,DL26
ATU,1899,Qtr 4,December,31,20020102,1899,Qtr 4,December,31,680,1899,Qtr 4,December,31,13,48,1,1899,Qtr 4,December,31,12,38,1899,Qtr 4,December,31,13,43,REV,20020102,1899,Qtr 4,December,31,12,28,LHE,MUX,D,DL26
ATU,1899,Qtr 4,December,31,20020102,1899,Qtr 4,December,31,681,1899,Qtr 4,December,31,16,45,1,1899,Qtr 4,December,31,15,53,1899,Qtr 4,December,31,16,40,REV,20020102,1899,Qtr 4,December,31,15,40,LHE,ISB,D,DL26
ATU,1899,Qtr 4,December,31,20020102,1899,Qtr 4,December,31,681,1899,Qtr 4,December,31,15,20,1,1899,Qtr 4,December,31,14,17,1899,Qtr 4,December,31,15,15,REV,20020102,1899,Qtr 4,December,31,14,10,MUX,LHE,D,DL26
